Path, Directory, total size of files in this dir, Extension, Total Size in Bytes , Total Size in KB,  Total Size in MB, Total Number of files with this extension
/Library,Widgets,0,NONE,0,0,0,56
/Library/Application Support/Apple,System Image Utility,420596829,NONE,6777,6,0,18
/Library/Application Support/Apple,System Image Utility,420596829,.gz,420590052,410732,401,9
/Library/Application Support/Apple/BezelServices/AppleBluetoothHIDKeyboard.plugin/Contents,Resources,4928,.plist,4928,4,0,2
/Library/Application Support/Apple/BezelServices/AppleBluetoothHIDKeyboard.plugin/Contents/Resources,en.lproj,40981,.pdf,40981,40,0,1
/Library/Application Support/Apple/BezelServices/AppleBluetoothMultitouch.plugin/Contents,Resources,7978,.plist,7978,7,0,2
/Library/Application Support/Apple/BezelServices/AppleBluetoothMultitouch.plugin/Contents/Resources,zh_TW.lproj,1644270,.pdf,1644270,1605,1,60
/Library/Application Support/Apple/BezelServices/IOAppleBluetoothHIDDriver.plugin/Contents,Resources,4598,.plist,4598,4,0,2
/Library/Application Support/Apple/BezelServices/IOAppleBluetoothHIDDriver.plugin/Contents/Resources,en.lproj,40981,.pdf,40981,40,0,1
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources,Stationery,3060,.plist,3060,2,0,5
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources,zh_TW.lproj,66729,.plist,66729,65,0,39
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Baby.mailstationery/Contents/Resources,zh_TW.lproj,4303500,.html,85710,83,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Baby.mailstationery/Contents/Resources,zh_TW.lproj,4303500,.plist,44820,43,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Baby.mailstationery/Contents/Resources,zh_TW.lproj,4303500,.jpg,2702250,2638,2,300
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Baby.mailstationery/Contents/Resources,zh_TW.lproj,4303500,.png,1470720,1436,1,90
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Dinner Party.mailstationery/Contents/Resources,zh_TW.lproj,2345910,.html,109260,106,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Dinner Party.mailstationery/Contents/Resources,zh_TW.lproj,2345910,.plist,23130,22,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Dinner Party.mailstationery/Contents/Resources,zh_TW.lproj,2345910,.jpg,1881510,1837,1,240
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Dinner Party.mailstationery/Contents/Resources,zh_TW.lproj,2345910,.png,332010,324,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Dinner.mailstationery/Contents/Resources,zh_TW.lproj,9263430,.html,72270,70,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Dinner.mailstationery/Contents/Resources,zh_TW.lproj,9263430,.plist,40260,39,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Dinner.mailstationery/Contents/Resources,zh_TW.lproj,9263430,.jpg,8680920,8477,8,210
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Dinner.mailstationery/Contents/Resources,zh_TW.lproj,9263430,.png,469980,458,0,60
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Formal Invite.mailstationery/Contents/Resources,zh_TW.lproj,5310000,.html,76110,74,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Formal Invite.mailstationery/Contents/Resources,zh_TW.lproj,5310000,.plist,43260,42,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Formal Invite.mailstationery/Contents/Resources,zh_TW.lproj,5310000,.jpg,4796130,4683,4,240
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Formal Invite.mailstationery/Contents/Resources,zh_TW.lproj,5310000,.png,394500,385,0,90
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Lunch.mailstationery/Contents/Resources,zh_TW.lproj,2347290,.gif,151080,147,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Lunch.mailstationery/Contents/Resources,zh_TW.lproj,2347290,.html,67800,66,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Lunch.mailstationery/Contents/Resources,zh_TW.lproj,2347290,.plist,16710,16,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Lunch.mailstationery/Contents/Resources,zh_TW.lproj,2347290,.jpg,1776870,1735,1,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/Lunch.mailstationery/Contents/Resources,zh_TW.lproj,2347290,.png,334830,326,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/New Address.mailstationery/Contents/Resources,zh_TW.lproj,1910550,.html,112350,109,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/New Address.mailstationery/Contents/Resources,zh_TW.lproj,1910550,.plist,27030,26,0,30
/Library/Application Support/Apple/Mail/Stationery/Apple/Contents/Resources/Announcements/Contents/Resources/New Address.mailstationery/Contents/Resources,zh_TW.lproj,1910550,.jpg,1533780,1497,1,330
