Extension, Total Size in Bytes, Total Number of files with this extension
.AudioComponents,0,3
.db,97810432,27
.lockfile,0,76
.scpt,1539406,110
.pth,1252,4
.92),1049112,72
.data,297946288,39
.bs,0,1
.bmp,197472,16
.js,10233146,390
.Components,0,3
.aif,4187512,15
.en,5637980,313
.wflow,5490,1
.css,1952161,409
.json,55141382,233
.icc,136804,7
.pdf,22263603,1047
.es,1699500,120
.pm,280102,8
.rsrc,87403632,234
.ix,95,1
.jpg,448565687,9039
.py,959325,87
.xml,63808,19
.zip,3680820,54
NONE,618363634,1056
.caf,791109465,1813
.log,8810,6
.car,251542919,19
.prm,218,1
.cikernel,81234,36
.QuickTimeComponents,1932,3
.pkg,0,1
.sp,56525,228
.xls,1041408,54
.dtd,2660646,42
.index,63180428,26
.exs,6017504,68
.frag,19361,19
.html,5394201,2609
.cfdb,300,5
.xpt,16250,10
.xcconfig,1944,18
.501,528384,6
.pt-br,375252,36
.tif,125531758,5314
.scriptTerminology,216288,18
.sfcshader,2318,19
.icns,155435945,2357
.mom,61374,12
.gif,1831782,187
.UTF8,308430,3078
.launchd,180,10
.vert,12654,19
.fr,4063956,204
.rtf,7345837,112
.mov,1566510217,572
.glsl,620882,779
.xsl,37390,9
.bundle,115632,1
.90),1029384,72
.m4a,457702742,611
.nib,374385,55
.zh-cn,523032,48
.34),1033632,72
.qtz,203006485,3557
.utl,60923988,216
.txt,2917442,194
.psd,1115707,23
.tiff,261753017,34151
.dfont,14120,2
.plist,95633974,11399
.utf8,11189784,552
.strings,230734789,5180
.euc-kr,3994356,276
.ent,3700,4
.xlsx,190584,18
.helpindex,58398256,200
.de,2103264,132
.ttf,1206356,120
.svg,87927,1
.htm,7362355,1264
.map,250596,12
.scriptSuite,189702,18
.properties,400,4
.egg,6291728,4
.pyc,1025397,87
.png,635922023,11671
.koi8-r,459924,36
.32),1029816,72
.gz,423244231,465
.params,3192,57
